Date,Total_Value,Cash_Accumulated
2017-12-27,41246.234424591064,35000
2017-12-28,41323.055545806885,35000
2017-12-29,42181.104526519775,36000
2018-01-02,42488.90504837036,36000
2018-01-03,42740.275257110596,36000
2018-01-04,42926.66463088989,36000
2018-01-05,43200.265674591064,36000
2018-01-08,43289.186405181885,36000
2018-01-09,43379.81619644165,36000
2018-01-10,43306.28483963013,36000
2018-01-11,43624.344944000244,36000
2018-01-12,43911.62630081177,36000
2018-01-16,43752.594944000244,36000
2018-01-17,44173.25609207153,36000
2018-01-18,44113.40504837036,36000
2018-01-19,44299.79442214966,36000
2018-01-22,44653.765674591064,36000
2018-01-23,44754.65504837036,36000
2018-01-24,44732.424213409424,36000
2018-01-25,44752.943378448486,36000
2018-01-26,45271.07316970825,36000
